Nr.,Miestas/Gyvenvietė,Gatvė,Namo Nr.,Buto Nr.,Tipas,Plotas
388,Panevėžio m.,Staniūnų g.,72C,301B,Savivaldybės būstas,"24,80"
389,Panevėžio m.,Staniūnų g.,72C,303A,Savivaldybės būstas,"17,22"
390,Panevėžio m.,Staniūnų g.,72C,303B,Savivaldybės būstas,"24,43"
391,Panevėžio m.,Staniūnų g.,72C,304A,Savivaldybės būstas,"17,26"
392,Panevėžio m.,Staniūnų g.,72C,402A,Savivaldybės būstas,"17,63"
393,Panevėžio m.,Staniūnų g.,72C,402B,Savivaldybės būstas,"24,59"
394,Panevėžio m.,Staniūnų g.,72C,403B,Savivaldybės būstas,"24,79"
395,Panevėžio m.,Staniūnų g.,72C,404A,Savivaldybės būstas,"17,42"
396,Panevėžio m.,Staniūnų g.,72C,406A,Savivaldybės būstas,"18,72"
397,Panevėžio m.,Staniūnų g.,72C,406B,Savivaldybės būstas,"26,25"
398,Panevėžio m.,Staniūnų g.,72C,507A,Savivaldybės būstas,"19,61"
399,Panevėžio m.,Staniūnų g.,72C,507B,Savivaldybės būstas,"27,96"
400,Panevėžio m.,Staniūnų g.,72C,508A,Savivaldybės būstas,"19,29"
401,Panevėžio m.,Staniūnų g.,72C,508B,Savivaldybės būstas,"27,64"
402,Panevėžio m.,Staniūnų g.,73,19,Savivaldybės būstas,"17,77"
403,Panevėžio m.,Staniūnų g.,73,19A,Savivaldybės būstas,"24,93"
404,Panevėžio m.,Staniūnų g.,73,21,Savivaldybės būstas,"18,44"
405,Panevėžio m.,Staniūnų g.,73,21A,Savivaldybės būstas,"25,31"
406,Panevėžio m.,Staniūnų g.,73,27,Savivaldybės būstas,"17,90"
407,Panevėžio m.,Staniūnų g.,73,27A,Savivaldybės būstas,"24,96"
408,Panevėžio m.,Staniūnų g.,73,53,Savivaldybės būstas,"18,83"
409,Panevėžio m.,Staniūnų g.,73,62,Savivaldybės būstas,"18,29"
410,Panevėžio m.,Staniūnų g.,73,62A,Savivaldybės būstas,"27,02"
411,Panevėžio m.,Staniūnų g.,73,69,Savivaldybės būstas,"18,37"
412,Panevėžio m.,Staniūnų g.,75,103,Savivaldybės būstas,"23,52"
413,Panevėžio m.,Staniūnų g.,75,104,Savivaldybės būstas,"16,89"
414,Panevėžio m.,Staniūnų g.,75,132,Savivaldybės būstas,"24,46"
415,Panevėžio m.,Staniūnų g.,75,133,Savivaldybės būstas,"17,29"
416,Panevėžio m.,Staniūnų g.,75,136,Savivaldybės būstas,"26,10"
417,Panevėžio m.,Staniūnų g.,75,166,Savivaldybės būstas,"16,79"
418,Panevėžio m.,Staniūnų g.,75,167,Savivaldybės būstas,"22,46"
419,Panevėžio m.,Staniūnų g.,77,11,Savivaldybės būstas,"15,82"
420,Panevėžio m.,Staniūnų g.,77,12,Savivaldybės būstas,"22,50"
421,Panevėžio m.,Staniūnų g.,77,160,Savivaldybės būstas,"24,30"
422,Panevėžio m.,Staniūnų g.,77,161,Savivaldybės būstas,"19,24"
423,Panevėžio m.,Staniūnų g.,78,154,Savivaldybės būstas,"17,01"
424,Panevėžio m.,Staniūnų g.,78,155,Savivaldybės būstas,"25,67"
425,Panevėžio m.,Staniūnų g.,78,186,Savivaldybės būstas,"24,42"
426,Panevėžio m.,Staniūnų g.,78,187,Savivaldybės būstas,"17,78"
427,Panevėžio m.,Staniūnų g.,79,6,Savivaldybės būstas,"37,08"
428,Panevėžio m.,Staniūnų g.,82,3,Savivaldybės būstas,"33,69"
429,Panevėžio m.,Smėlynės g.,57,48,Savivaldybės būstas,"48,58"
430,Panevėžio m.,Smėlynės g.,57,55,Savivaldybės būstas,"44,94"
431,Panevėžio m.,Smėlynės g.,73,86,Savivaldybės būstas,"31,93"
432,Panevėžio m.,Smėlynės g.,73,97,Savivaldybės būstas,"31,95"
433,Panevėžio m.,Smėlynės g.,73,98,Savivaldybės būstas,"26,36"
434,Panevėžio m.,Teatro g.,4,5,Savivaldybės būstas,"24,55"
435,Panevėžio m.,Tulpių g.,16,35,Savivaldybės būstas,"29,08"
436,Panevėžio m.,Tulpių g.,4,51,Savivaldybės būstas,"47,77"
437,Panevėžio m.,Tulpių g.,6,15,Savivaldybės būstas,"61,68"
438,Panevėžio m.,Tulpių g.,8,16,Savivaldybės būstas,"44,53"
439,Panevėžio m.,J. Tilvyčio g.,61,17,Savivaldybės būstas,"32,25"
440,Panevėžio m.,M. Tiškevičiaus g.,10,7,Savivaldybės būstas,"39,18"
441,Panevėžio m.,Ukmergės g.,13,20,Savivaldybės būstas,"41,30"
442,Panevėžio m.,Velžio kel.,8,6,Savivaldybės būstas,"17,57"
443,Panevėžio m.,Vilniaus g.,23,4,Savivaldybės būstas,"54,86"
444,Panevėžio m.,Vilniaus g.,23,58,Savivaldybės būstas,"41,62"
445,Panevėžio m.,Vilniaus g.,23,70,Savivaldybės būstas,"42,38"
446,Panevėžio m.,Vilniaus g.,8,39,Savivaldybės būstas,"59,55"
447,Panevėžio m.,Vilties g.,20,60,Savivaldybės būstas,"42,16"
448,Panevėžio m.,Vilties g.,22,10,Savivaldybės būstas,"22,87"
449,Panevėžio m.,Vilties g.,22,14,Savivaldybės būstas,"22,22"
450,Panevėžio m.,Vilties g.,22,18,Savivaldybės būstas,"23,64"
451,Panevėžio m.,Vilties g.,22,19,Savivaldybės būstas,"23,69"
452,Panevėžio m.,Vilties g.,22,60,Savivaldybės būstas,"23,99"
453,Panevėžio m.,Vilties g.,24,22,Savivaldybės būstas,"18,35"
454,Panevėžio m.,Vilties g.,24,51,Savivaldybės būstas,"18,15"
455,Panevėžio m.,Vilties g.,24,52,Savivaldybės būstas,"21,02"
456,Panevėžio m.,Vilties g.,6,14,Savivaldybės būstas,"44,06"
457,Panevėžio m.,Šv. Zitos g.,23,5,Savivaldybės būstas,"27,22"
458,Panevėžio m.,Žemaičių g.,10,80,Savivaldybės būstas,"26,12"
459,Panevėžio m.,Žemaičių g.,12,69,Savivaldybės būstas,"42,46"
460,Panevėžio m.,Žemaičių g.,14,34,Savivaldybės būstas,"23,35"
461,Panevėžio m.,Žemaičių g.,14,69,Savivaldybės būstas,"25,14"
462,Panevėžio m.,Žemaičių g.,14,70,Savivaldybės būstas,"16,89"
463,Panevėžio m.,Žemaičių g.,14,77,Savivaldybės būstas,"25,06"
464,Panevėžio m.,Žemaičių g.,14,77A,Savivaldybės būstas,"11,18"
465,Panevėžio m.,Žemaičių g.,25,12,Savivaldybės būstas,"50,90"
466,Panevėžio m.,Žemaičių g.,25,33,Savivaldybės būstas,"50,80"
467,Panevėžio m.,Žvaigždžių g.,14,26,Savivaldybės būstas,"35,99"
468,Panevėžio m.,Žvaigždžių g.,20,15,Savivaldybės būstas,"64,82"
469,Panevėžio m.,Žvaigždžių g.,5,34,Savivaldybės būstas,"47,10"
470,Panevėžio m.,Dainavos g.,14,12,Savivaldybės būstas,"49,74"
471,Panevėžio m.,Dainavos g.,27,2,Savivaldybės būstas,"51,84"
472,Panevėžio m.,Dainavos g.,27,35,Savivaldybės būstas,"52,32"
473,Panevėžio m.,Projektuotojų g.,12,26,Savivaldybės būstas,"53,44"
474,Panevėžio m.,Projektuotojų g.,12,39,Savivaldybės būstas,"52,83"
475,Panevėžio m.,Projektuotojų g.,20,20,Savivaldybės būstas,"36,31"
476,Panevėžio m.,Projektuotojų g.,22,30,Savivaldybės būstas,"50,36"
477,Panevėžio m.,Projektuotojų g.,41,2,Savivaldybės būstas,"35,86"
478,Panevėžio m.,Projektuotojų g.,43,20,Savivaldybės būstas,"51,51"
479,Panevėžio m.,Projektuotojų g.,9,25,Savivaldybės būstas,"36,49"
480,Panevėžio m.,Kniaudiškių g.,45,1,Savivaldybės būstas,"50,37"
481,Panevėžio m.,Kniaudiškių g.,48,11,Savivaldybės būstas,"52,56"
482,Panevėžio m.,Kniaudiškių g.,48,15,Savivaldybės būstas,"52,53"
483,Panevėžio m.,Kniaudiškių g.,48,20,Savivaldybės būstas,"52,68"
484,Panevėžio m.,Kniaudiškių g.,93,3,Savivaldybės būstas,"50,27"
485,Panevėžio m.,Kniaudiškių g.,97,32,Savivaldybės būstas,"35,86"
486,Panevėžio m.,Naujamiesčio g.,20,4,Savivaldybės būstas,"21,83"
487,Panevėžio m.,Naujamiesčio g.,20,5,Savivaldybės būstas,"20,55"
488,Panevėžio m.,Nendrės g.,10,3,Savivaldybės būstas,"50,41"
489,Panevėžio m.,Nendrės g.,2,22,Savivaldybės būstas,"75,08"
490,Panevėžio m.,Nendrės g.,3,36,Savivaldybės būstas,"48,59"
491,Panevėžio m.,Nendrės g.,4,10,Savivaldybės būstas,"37,41"
492,Panevėžio m.,Nendrės g.,4,11,Savivaldybės būstas,"50,17"
493,Panevėžio m.,Nendrės g.,4,12,Savivaldybės būstas,"66,92"
494,Panevėžio m.,Nendrės g.,4,15,Savivaldybės būstas,"49,79"
495,Panevėžio m.,Nendrės g.,4,17,Savivaldybės būstas,"65,16"
496,Panevėžio m.,Nendrės g.,4,18,Savivaldybės būstas,"37,03"
497,Panevėžio m.,Nendrės g.,4,19,Savivaldybės būstas,"49,98"
498,Panevėžio m.,Nendrės g.,4,20,Savivaldybės būstas,"66,63"
499,Panevėžio m.,Nendrės g.,4,4,Savivaldybės būstas,"66,53"
500,Panevėžio m.,Nendrės g.,6,10,Savivaldybės būstas,"37,33"
501,Panevėžio m.,Nendrės g.,6,14,Savivaldybės būstas,"37,63"
502,Panevėžio m.,Nendrės g.,6,15,Savivaldybės būstas,"66,12"
503,Panevėžio m.,Nendrės g.,6,16,Savivaldybės būstas,"66,42"
504,Panevėžio m.,Nendrės g.,6,19,Savivaldybės būstas,"50,66"
505,Panevėžio m.,Nendrės g.,6,20,Savivaldybės būstas,"66,07"
506,Panevėžio m.,Nendrės g.,6,5,Savivaldybės būstas,"65,41"
507,Panevėžio m.,Nendrės g.,6,7,Savivaldybės būstas,"50,80"
508,Panevėžio m.,Nendrės g.,6,8,Savivaldybės būstas,"66,86"
