Id,Miestas,Gatve,Namas,Butas,Plotas,Kaina,KainaM2,Tipas,lat,lng
59,Panevėžio m.,Dariaus ir Girėno g.,18,2,36,20.14,0.56,Savivaldybės būstas,55.733185,24.325024
60,Panevėžio m.,Dariaus ir Girėno g.,19,4,56,40.81,0.73,Savivaldybės būstas,55.73322,24.323277
61,Panevėžio m.,Dariaus ir Girėno g.,21,44,49,18.48,0.38,Savivaldybės būstas,55.73324,24.322006
62,Panevėžio m.,Dariaus ir Girėno g.,27,31,65,35.27,0.54,Savivaldybės būstas,55.733513,24.320385
63,Panevėžio m.,Dariaus ir Girėno g.,28,50,35,20.13,0.58,Savivaldybės būstas,55.735275,24.323406
64,Panevėžio m.,A. Smetonos g.,47,3,50,,,Savivaldybės būstas,,
65,Panevėžio m.,A. Smetonos g.,47,4,50,,,Savivaldybės būstas,,
66,Panevėžio m.,A. Smetonos g.,47,6,28,,,Savivaldybės būstas,,
67,Panevėžio m.,Durpyno g.,12,13,33,20.02,0.61,Savivaldybės būstas,55.717976,24.35977
68,Panevėžio m.,Durpyno g.,12,41,34,16.17,0.48,Savivaldybės būstas,55.717976,24.35977
69,Panevėžio m.,Durpyno g.,4,33,28,16.81,0.6,Savivaldybės būstas,55.718475,24.363749
70,Panevėžio m.,Vysk. M. Giedraičio g.,3,2,39,,,Savivaldybės būstas,,
71,Panevėžio m.,J. Zikaro g.,3,3,62,,,Savivaldybės būstas,,
72,Panevėžio m.,J. Zikaro g.,37,1,26,,,Savivaldybės būstas,,
73,Panevėžio m.,J. Janonio g.,10,11,47,,,Savivaldybės būstas,,
74,Panevėžio m.,J. Janonio g.,10,2,26,,,Savivaldybės būstas,,
75,Panevėžio m.,J. Janonio g.,10,5,26,,,Savivaldybės būstas,,
76,Panevėžio m.,J. Janonio g.,10,6,34,,,Savivaldybės būstas,,
77,Panevėžio m.,J. Janonio g.,10,9,51,,,Savivaldybės būstas,,
78,Panevėžio m.,J. Janonio g.,8,1,32,,,Savivaldybės būstas,,
79,Panevėžio m.,J. Janonio g.,8,12,32,,,Savivaldybės būstas,,
80,Panevėžio m.,J. Janonio g.,8,2,32,,,Savivaldybės būstas,,
81,Panevėžio m.,S. Kerbedžio g.,34,10B,25,,,Savivaldybės būstas,,
82,Panevėžio m.,Kauno g.,9,6B,18,,,Savivaldybės būstas,,
83,Panevėžio m.,Kosmonautų g.,3,74,52,38.23,0.74,Savivaldybės būstas,55.729603,24.337896
84,Panevėžio m.,Klaipėdos g.,112,55,44,24.62,0.56,Savivaldybės būstas,55.73003,24.32985
85,Panevėžio m.,Klaipėdos g.,118,23,52,30.65,0.59,Savivaldybės būstas,55.72974,24.327354
86,Panevėžio m.,Klaipėdos g.,118,26,52,30.65,0.59,Savivaldybės būstas,55.72974,24.327354
87,Panevėžio m.,Klaipėdos g.,126,2,49,27.75,0.57,Savivaldybės būstas,55.73038,24.323442
88,Panevėžio m.,Klaipėdos g.,142,26,51,24.08,0.47,Savivaldybės būstas,55.730755,24.318338
89,Panevėžio m.,Klaipėdos g.,142,50,51,29.96,0.59,Savivaldybės būstas,55.730755,24.318338
90,Panevėžio m.,Klaipėdos g.,142,54,63,35.88,0.57,Savivaldybės būstas,55.730755,24.318338
91,Panevėžio m.,Klaipėdos g.,94A,30,44,,,Savivaldybės būstas,,
92,Panevėžio m.,Klaipėdos g.,96,16,44,24.96,0.57,Savivaldybės būstas,55.72913,24.335268
93,Panevėžio m.,Kranto g.,41,2,32,19.03,0.59,Savivaldybės būstas,55.734535,24.360146
94,Panevėžio m.,Laisvės a.,11,7,33,,,Savivaldybės būstas,,
95,Panevėžio m.,Liepų al.,10,10,26,,,Savivaldybės būstas,,
96,Panevėžio m.,Liepų al.,10,11,26,,,Savivaldybės būstas,,
97,Panevėžio m.,Liepų al.,10,12,26,,,Savivaldybės būstas,,
98,Panevėžio m.,Liepų al.,10,13,26,,,Savivaldybės būstas,,
99,Panevėžio m.,Liepų al.,10,19,26,,,Savivaldybės būstas,,
100,Panevėžio m.,Liepų al.,10,25,26,,,Savivaldybės būstas,,
101,Panevėžio m.,Liepų al.,10,45,25,,,Savivaldybės būstas,,
102,Panevėžio m.,Liepų al.,10,47,25,,,Savivaldybės būstas,,
103,Panevėžio m.,Liepų al.,10,5,25,,,Savivaldybės būstas,,
104,Panevėžio m.,Liepų al.,10,57,26,,,Savivaldybės būstas,,
105,Panevėžio m.,Liepų al.,10,60,26,,,Savivaldybės būstas,,
106,Panevėžio m.,Liepų al.,10,64,24,,,Savivaldybės būstas,,
107,Panevėžio m.,Liepų al.,10,84,24,,,Savivaldybės būstas,,
108,Panevėžio m.,Liepų al.,10,98,26,,,Savivaldybės būstas,,
109,Panevėžio m.,Liepų al.,15A,25,41,,,Savivaldybės būstas,,
110,Panevėžio m.,Liepų al.,28,2,22,,,Savivaldybės būstas,,
111,Panevėžio m.,Liepų al.,7,22,22,,,Savivaldybės būstas,,
112,Panevėžio m.,Liepų al.,7,23,23,,,Savivaldybės būstas,,
113,Panevėžio m.,Liepų al.,7,25,18,,,Savivaldybės būstas,,
114,Panevėžio m.,Liepų al.,7,26,23,,,Savivaldybės būstas,,
115,Panevėžio m.,Liepų al.,7,39,15,,,Savivaldybės būstas,,
116,Panevėžio m.,Liepų al.,7,40,14,,,Savivaldybės būstas,,
117,Panevėžio m.,Liepų al.,7,42A,45,,,Savivaldybės būstas,,
118,Panevėžio m.,Liepų al.,7,50,17,,,Savivaldybės būstas,,
119,Panevėžio m.,Liepų al.,7,54,22,,,Savivaldybės būstas,,
120,Panevėžio m.,Liepų al.,7,60,18,,,Savivaldybės būstas,,
121,Panevėžio m.,Liepų al.,7,68,15,,,Savivaldybės būstas,,
